step	epoch
4	0
9	0
14	0
19	0
24	0
29	0
34	0
39	0
40	0
40	0
44	1
49	1
54	1
59	1
64	1
69	1
74	1
79	1
81	1
81	1
84	2
89	2
94	2
99	2
104	2
109	2
114	2
119	2
122	2
122	2
124	3
129	3
134	3
139	3
144	3
149	3
154	3
159	3
163	3
163	3
164	4
169	4
174	4
179	4
184	4
189	4
194	4
199	4
204	4
204	4
204	4
209	5
214	5
219	5
224	5
229	5
234	5
239	5
244	5
245	5
245	5
249	6
254	6
259	6
264	6
269	6
274	6
279	6
284	6
286	6
286	6
289	7
294	7
299	7
304	7
309	7
314	7
319	7
324	7
327	7
327	7
329	8
334	8
339	8
344	8
349	8
354	8
359	8
364	8
368	8
368	8
369	9
374	9
379	9
384	9
389	9
394	9
399	9
404	9
409	9
409	9
409	9
414	10
419	10
424	10
429	10
434	10
439	10
444	10
449	10
450	10
450	10
454	11
459	11
464	11
469	11
474	11
479	11
484	11
489	11
491	11
491	11
494	12
499	12
504	12
509	12
514	12
519	12
524	12
529	12
532	12
532	12
534	13
539	13
544	13
549	13
554	13
559	13
564	13
569	13
573	13
573	13
574	14
579	14
584	14
589	14
594	14
599	14
604	14
609	14
614	14
614	14
614	14
619	15
624	15
629	15
634	15
639	15
644	15
649	15
654	15
655	15
655	15
659	16
664	16
669	16
674	16
679	16
684	16
689	16
694	16
696	16
696	16
699	17
704	17
709	17
714	17
719	17
724	17
729	17
734	17
737	17
737	17
739	18
744	18
749	18
754	18
759	18
764	18
769	18
774	18
778	18
778	18
779	19
784	19
789	19
794	19
799	19
804	19
809	19
814	19
819	19
819	19
819	19
824	20
829	20
834	20
839	20
844	20
849	20
854	20
859	20
860	20
860	20
864	21
869	21
874	21
879	21
884	21
889	21
894	21
899	21
901	21
901	21
904	22
909	22
914	22
919	22
924	22
929	22
934	22
939	22
942	22
942	22
944	23
949	23
954	23
959	23
964	23
969	23
974	23
979	23
983	23
983	23
984	24
989	24
994	24
999	24
1004	24
1009	24
1014	24
1019	24
1024	24
1024	24
1024	24
1029	25
1034	25
1039	25
1044	25
1049	25
1054	25
1059	25
1064	25
1065	25
1065	25
1069	26
1074	26
1079	26
1084	26
1089	26
1094	26
1099	26
1104	26
1106	26
1106	26
1109	27
1114	27
1119	27
1124	27
1129	27
1134	27
1139	27
1144	27
1147	27
1147	27
1149	28
1154	28
1159	28
1164	28
1169	28
1174	28
1179	28
1184	28
1188	28
1188	28
1189	29
1194	29
1199	29
1204	29
1209	29
1214	29
1219	29
1224	29
1229	29
1229	29
1229	29
1234	30
1239	30
1244	30
1249	30
1254	30
1259	30
1264	30
1269	30
1270	30
1270	30
1274	31
1279	31
1284	31
1289	31
1294	31
1299	31
1304	31
1309	31
1311	31
1311	31
1314	32
1319	32
1324	32
1329	32
1334	32
1339	32
1344	32
1349	32
1352	32
1352	32
1354	33
1359	33
1364	33
1369	33
1374	33
1379	33
1384	33
1389	33
1393	33
1393	33
1394	34
1399	34
1404	34
1409	34
1414	34
1419	34
1424	34
1429	34
1434	34
1434	34
1434	34
1439	35
1444	35
1449	35
1454	35
1459	35
1464	35
1469	35
1474	35
1475	35
1475	35
1479	36
1484	36
1489	36
1494	36
1499	36
1504	36
1509	36
1514	36
1516	36
1516	36
1519	37
1524	37
1529	37
1534	37
1539	37
1544	37
1549	37
1554	37
1557	37
1557	37
1559	38
1564	38
1569	38
1574	38
1579	38
1584	38
1589	38
1594	38
1598	38
1598	38
1599	39
1604	39
1609	39
1614	39
1619	39
1624	39
1629	39
1634	39
1639	39
1639	39
1639	39
1644	40
1649	40
1654	40
1659	40
1664	40
1669	40
1674	40
1679	40
1680	40
1680	40
1684	41
1689	41
1694	41
1699	41
1704	41
1709	41
1714	41
1719	41
1721	41
1721	41
1724	42
1729	42
1734	42
1739	42
1744	42
1749	42
1754	42
1759	42
1762	42
1762	42
1764	43
1769	43
1774	43
1779	43
1784	43
1789	43
1794	43
1799	43
1803	43
1803	43
1804	44
1809	44
1814	44
1819	44
1824	44
1829	44
1834	44
1839	44
1844	44
1844	44
1844	44
1849	45
1854	45
1859	45
1864	45
1869	45
1874	45
1879	45
1884	45
1885	45
1885	45
1889	46
1894	46
1899	46
1904	46
1909	46
1914	46
1919	46
1924	46
1926	46
1926	46
1929	47
1934	47
1939	47
1944	47
1949	47
1954	47
1959	47
1964	47
1967	47
1967	47
1969	48
1974	48
1979	48
1984	48
1989	48
1994	48
1999	48
2004	48
2008	48
2008	48
2009	49
2014	49
2019	49
2024	49
2029	49
2034	49
2039	49
2044	49
2049	49
2049	49
2049	49
2054	50
2059	50
2064	50
2069	50
2074	50
2079	50
2084	50
2089	50
2090	50
2090	50
2094	51
2099	51
2104	51
2109	51
2114	51
2119	51
2124	51
2129	51
2131	51
2131	51
2134	52
2139	52
2144	52
2149	52
2154	52
2159	52
2164	52
2169	52
2172	52
2172	52
2174	53
2179	53
2184	53
2189	53
2194	53
2199	53
2204	53
2209	53
2213	53
2213	53
2214	54
2219	54
2224	54
2229	54
2234	54
2239	54
2244	54
2249	54
2254	54
2254	54
2254	54
2259	55
2264	55
2269	55
2274	55
2279	55
2284	55
2289	55
2294	55
2295	55
2295	55
2299	56
2304	56
2309	56
2314	56
2319	56
2324	56
2329	56
2334	56
2336	56
2336	56
2339	57
2344	57
2349	57
2354	57
2359	57
2364	57
2369	57
2374	57
2377	57
2377	57
2379	58
2384	58
2389	58
2394	58
2399	58
2404	58
2409	58
2414	58
2418	58
2418	58
2419	59
2424	59
2429	59
2434	59
2439	59
2444	59
2449	59
2454	59
2459	59
2459	59
2459	59
2464	60
2469	60
2474	60
2479	60
2484	60
2489	60
2494	60
2499	60
2500	60
2500	60
2504	61
2509	61
2514	61
2519	61
2524	61
2529	61
2534	61
2539	61
2541	61
2541	61
2544	62
2549	62
2554	62
2559	62
2564	62
2569	62
2574	62
2579	62
2582	62
2582	62
2584	63
2589	63
2594	63
2599	63
2604	63
2609	63
2614	63
2619	63
2623	63
2623	63
2624	64
2629	64
2634	64
2639	64
2644	64
2649	64
2654	64
2659	64
2664	64
2664	64
2664	64
2669	65
2674	65
2679	65
2684	65
2689	65
2694	65
2699	65
2704	65
2705	65
2705	65
2709	66
2714	66
2719	66
2724	66
2729	66
2734	66
2739	66
2744	66
2746	66
2746	66
2749	67
2754	67
2759	67
2764	67
2769	67
2774	67
2779	67
2784	67
2787	67
2787	67
2789	68
2794	68
2799	68
2804	68
2809	68
2814	68
2819	68
2824	68
2828	68
2828	68
2829	69
2834	69
2839	69
2844	69
2849	69
2854	69
2859	69
2864	69
2869	69
2869	69
2869	69
2874	70
2879	70
2884	70
2889	70
2894	70
2899	70
2904	70
2909	70
2910	70
2910	70
2914	71
2919	71
2924	71
2929	71
2934	71
2939	71
2944	71
2949	71
2951	71
2951	71
2954	72
2959	72
2964	72
2969	72
2974	72
2979	72
2984	72
2989	72
2992	72
2992	72
2994	73
2999	73
3004	73
3009	73
3014	73
3019	73
3024	73
3029	73
3033	73
3033	73
3034	74
3039	74
3044	74
3049	74
3054	74
3059	74
3064	74
3069	74
3074	74
3074	74
3074	74
3079	75
3084	75
3089	75
3094	75
3099	75
3104	75
3109	75
3114	75
3115	75
3115	75
3119	76
3124	76
3129	76
3134	76
3139	76
3144	76
3149	76
3154	76
3156	76
3156	76
3159	77
3164	77
3169	77
3174	77
3179	77
3184	77
3189	77
3194	77
3197	77
3197	77
3199	78
3204	78
3209	78
3214	78
3219	78
3224	78
3229	78
3234	78
3238	78
3238	78
3239	79
3244	79
3249	79
3254	79
3259	79
3264	79
3269	79
3274	79
3279	79
3279	79
3279	79
3284	80
3289	80
3294	80
3299	80
3304	80
3309	80
3314	80
3319	80
3320	80
3320	80
3324	81
3329	81
3334	81
3339	81
3344	81
3349	81
3354	81
3359	81
3361	81
3361	81
3364	82
3369	82
3374	82
3379	82
3384	82
3389	82
3394	82
3399	82
3402	82
3402	82
3404	83
3409	83
3414	83
3419	83
3424	83
3429	83
3434	83
3439	83
3443	83
3443	83
3444	84
3449	84
3454	84
3459	84
3464	84
3469	84
3474	84
3479	84
3484	84
3484	84
3484	84
3489	85
3494	85
3499	85
3504	85
3509	85
3514	85
3519	85
3524	85
3525	85
3525	85
3529	86
3534	86
3539	86
3544	86
3549	86
3554	86
3559	86
3564	86
3566	86
3566	86
3569	87
3574	87
3579	87
3584	87
3589	87
3594	87
3599	87
3604	87
3607	87
3607	87
3609	88
3614	88
3619	88
3624	88
3629	88
3634	88
3639	88
3644	88
3648	88
3648	88
3649	89
3654	89
3659	89
3664	89
3669	89
3674	89
3679	89
3684	89
3689	89
3689	89
3689	89
3694	90
3699	90
3704	90
3709	90
3714	90
3719	90
3724	90
3729	90
3730	90
3730	90
3734	91
3739	91
3744	91
3749	91
3754	91
3759	91
3764	91
3769	91
3771	91
3771	91
3774	92
3779	92
3784	92
3789	92
3794	92
3799	92
3804	92
3809	92
3812	92
3812	92
3814	93
3819	93
3824	93
3829	93
3834	93
3839	93
3844	93
3849	93
3853	93
3853	93
3854	94
3859	94
3864	94
3869	94
3874	94
3879	94
3884	94
3889	94
3894	94
3894	94
3894	94
3899	95
3904	95
3909	95
3914	95
3919	95
3924	95
3929	95
3934	95
3935	95
3935	95
3939	96
3944	96
3949	96
3954	96
3959	96
3964	96
3969	96
3974	96
3976	96
3976	96
3979	97
3984	97
3989	97
3994	97
3999	97
4004	97
4009	97
4014	97
4017	97
4017	97
4019	98
4024	98
4029	98
4034	98
4039	98
4044	98
4049	98
4054	98
4058	98
4058	98
4059	99
4064	99
4069	99
4074	99
4079	99
4084	99
4089	99
4094	99
4099	99
4099	99
4099	99
4104	100
4109	100
4114	100
4119	100
4124	100
4129	100
4134	100
4139	100
4140	100
4140	100
4144	101
4149	101
4154	101
4159	101
4164	101
4169	101
4174	101
4179	101
4181	101
4181	101
4184	102
4189	102
4194	102
4199	102
4204	102
4209	102
4214	102
4219	102
4222	102
4222	102
4224	103
4229	103
4234	103
4239	103
4244	103
4249	103
4254	103
4259	103
4263	103
4263	103
4264	104
4269	104
4274	104
4279	104
4284	104
4289	104
4294	104
4299	104
4304	104
4304	104
4304	104
4309	105
4314	105
4319	105
4324	105
4329	105
4334	105
4339	105
4344	105
4345	105
4345	105
4349	106
4354	106
4359	106
4364	106
4369	106
4374	106
4379	106
4384	106
4386	106
4386	106
4389	107
4394	107
4399	107
4404	107
4409	107
4414	107
4419	107
4424	107
4427	107
4427	107
4429	108
4434	108
4439	108
4444	108
4449	108
4454	108
4459	108
4464	108
4468	108
4468	108
4469	109
4474	109
4479	109
4484	109
4489	109
4494	109
4499	109
4504	109
4509	109
4509	109
4509	109
4514	110
4519	110
4524	110
4529	110
4534	110
4539	110
4544	110
4549	110
4550	110
4550	110
4554	111
4559	111
4564	111
4569	111
4574	111
4579	111
4584	111
4589	111
4591	111
4591	111
4594	112
4599	112
4604	112
4609	112
4614	112
4619	112
4624	112
4629	112
4632	112
4632	112
4634	113
4639	113
4644	113
4649	113
4654	113
4659	113
4664	113
4669	113
4673	113
4673	113
4674	114
4679	114
4684	114
4689	114
4694	114
4699	114
4704	114
4709	114
4714	114
4714	114
4714	114
4719	115
4724	115
4729	115
4734	115
4739	115
4744	115
4749	115
4754	115
4755	115
4755	115
4759	116
4764	116
4769	116
4774	116
4779	116
4784	116
4789	116
4794	116
4796	116
4796	116
4799	117
4804	117
4809	117
4814	117
4819	117
4824	117
4829	117
4834	117
4837	117
4837	117
4839	118
4844	118
4849	118
4854	118
4859	118
4864	118
4869	118
4874	118
4878	118
4878	118
4879	119
4884	119
4889	119
4894	119
4899	119
4904	119
4909	119
4914	119
4919	119
4919	119
4919	119
4924	120
4929	120
4934	120
4939	120
4944	120
4949	120
4954	120
4959	120
4960	120
4960	120
4964	121
4969	121
4974	121
4979	121
4984	121
4989	121
4994	121
4999	121
5001	121
5001	121
5004	122
5009	122
5014	122
5019	122
5024	122
5029	122
5034	122
5039	122
5042	122
5042	122
5044	123
5049	123
5054	123
5059	123
5064	123
5069	123
5074	123
5079	123
5083	123
5083	123
5084	124
5089	124
5094	124
5099	124
5104	124
5109	124
5114	124
5119	124
5124	124
5124	124
5124	124
5129	125
5134	125
5139	125
5144	125
5149	125
5154	125
5159	125
5164	125
5165	125
5165	125
5169	126
5174	126
5179	126
5184	126
5189	126
5194	126
5199	126
5204	126
5206	126
5206	126
5209	127
5214	127
5219	127
5224	127
5229	127
5234	127
5239	127
5244	127
5247	127
5247	127
5249	128
5254	128
5259	128
5264	128
5269	128
5274	128
5279	128
5284	128
5288	128
5288	128
5289	129
5294	129
5299	129
5304	129
5309	129
5314	129
5319	129
5324	129
5329	129
5329	129
5329	129
5334	130
5339	130
5344	130
5349	130
5354	130
5359	130
5364	130
5369	130
5370	130
5370	130
5374	131
5379	131
5384	131
5389	131
5394	131
5399	131
5404	131
5409	131
5411	131
5411	131
5414	132
5419	132
5424	132
5429	132
5434	132
5439	132
5444	132
5449	132
5452	132
5452	132
5454	133
5459	133
5464	133
5469	133
5474	133
5479	133
5484	133
5489	133
5493	133
5493	133
5494	134
5499	134
5504	134
5509	134
5514	134
5519	134
5524	134
5529	134
5534	134
5534	134
5534	134
5539	135
5544	135
5549	135
5554	135
5559	135
5564	135
5569	135
5574	135
5575	135
5575	135
5579	136
5584	136
5589	136
5594	136
5599	136
5604	136
5609	136
5614	136
5616	136
5616	136
5619	137
5624	137
5629	137
5634	137
5639	137
5644	137
5649	137
5654	137
5657	137
5657	137
5659	138
5664	138
5669	138
5674	138
5679	138
5684	138
5689	138
5694	138
5698	138
5698	138
5699	139
5704	139
5709	139
5714	139
5719	139
5724	139
5729	139
5734	139
5739	139
5739	139
5739	139
5744	140
5749	140
5754	140
5759	140
5764	140
5769	140
5774	140
5779	140
5780	140
5780	140
5784	141
5789	141
5794	141
5799	141
5804	141
5809	141
5814	141
5819	141
5821	141
5821	141
5824	142
5829	142
5834	142
5839	142
5844	142
5849	142
5854	142
5859	142
5862	142
5862	142
5864	143
5869	143
5874	143
5879	143
5884	143
5889	143
5894	143
5899	143
5903	143
5903	143
5904	144
5909	144
5914	144
5919	144
5924	144
5929	144
5934	144
5939	144
5944	144
5944	144
5944	144
5949	145
5954	145
5959	145
5964	145
5969	145
5974	145
5979	145
5984	145
5985	145
5985	145
5989	146
5994	146
5999	146
6004	146
6009	146
6014	146
6019	146
6024	146
6026	146
6026	146
6029	147
6034	147
6039	147
6044	147
6049	147
6054	147
6059	147
6064	147
6067	147
6067	147
6069	148
6074	148
6079	148
6084	148
6089	148
6094	148
6099	148
6104	148
6108	148
6108	148
6109	149
6114	149
6119	149
6124	149
6129	149
6134	149
6139	149
6144	149
6149	149
6149	149
6149	149
6154	150
6159	150
6164	150
6169	150
6174	150
6179	150
6184	150
6189	150
6190	150
6190	150
6194	151
6199	151
6204	151
6209	151
6214	151
6219	151
6224	151
6229	151
6231	151
6231	151
6234	152
6239	152
6244	152
6249	152
6254	152
6259	152
6264	152
6269	152
6272	152
6272	152
6274	153
6279	153
6284	153
6289	153
6294	153
6299	153
6304	153
6309	153
6313	153
6313	153
6314	154
6319	154
6324	154
6329	154
6334	154
6339	154
6344	154
6349	154
6354	154
6354	154
6354	154
6359	155
6364	155
6369	155
6374	155
6379	155
6384	155
6389	155
6394	155
6395	155
6395	155
6399	156
6404	156
6409	156
6414	156
6419	156
6424	156
6429	156
6434	156
6436	156
6436	156
6439	157
6444	157
6449	157
6454	157
6459	157
6464	157
6469	157
6474	157
6477	157
6477	157
6479	158
6484	158
6489	158
6494	158
6499	158
6504	158
6509	158
6514	158
6518	158
6518	158
6519	159
6524	159
6529	159
6534	159
6539	159
6544	159
6549	159
6554	159
6559	159
6559	159
6559	159
6564	160
6569	160
6574	160
6579	160
6584	160
6589	160
6594	160
6599	160
6600	160
6600	160
6604	161
6609	161
6614	161
6619	161
6624	161
6629	161
6634	161
6639	161
6641	161
6641	161
6644	162
6649	162
6654	162
6659	162
6664	162
6669	162
6674	162
6679	162
6682	162
6682	162
6684	163
6689	163
6694	163
6699	163
6704	163
6709	163
6714	163
6719	163
6723	163
6723	163
6724	164
6729	164
6734	164
6739	164
6744	164
6749	164
6754	164
6759	164
6764	164
6764	164
6764	164
6769	165
6774	165
6779	165
6784	165
6789	165
6794	165
6799	165
