step	loss_step
4	0.24979093670845032
9	0.624917209148407
14	0.7492794990539551
19	0.8749075531959534
24	0.7498086094856262
29	0.7494308948516846
34	0.8748544454574585
39	0.49992233514785767
44	0.9995375871658325
49	0.374489963054657
54	0.6248420476913452
59	0.6245012283325195
64	0.8746518492698669
69	0.9994114637374878
74	0.7497080564498901
79	0.7493917942047119
84	0.6247990131378174
89	0.37494251132011414
94	0.8734416961669922
99	0.6248153448104858
104	0.9983201622962952
109	0.9973777532577515
114	0.8746556043624878
119	0.7497695684432983
124	0.8722090125083923
129	0.49985113739967346
134	0.49836257100105286
139	0.873753547668457
144	0.498904824256897
149	0.9985074996948242
154	0.873330295085907
159	0.8741505146026611
164	0.6212964057922363
169	0.8748248219490051
174	0.7495796084403992
179	0.9989616274833679
184	0.74810791015625
189	0.749686062335968
194	0.7498255372047424
199	0.49976134300231934
204	0.4997704029083252
209	0.9977250099182129
214	0.6245781779289246
219	0.9983758926391602
224	0.7497478723526001
229	0.7489960789680481
234	0.7477325797080994
239	0.8744969964027405
244	0.7455518245697021
249	0.37490910291671753
254	0.746926486492157
259	0.49741727113723755
264	0.7475024461746216
269	0.7495383024215698
274	0.6248564124107361
279	0.9987996816635132
284	0.6228564381599426
289	0.9993722438812256
294	0.9947130084037781
299	0.8707222938537598
304	0.8743798732757568
309	0.9997267127037048
314	0.9985160827636719
319	0.8715722560882568
324	0.9958141446113586
329	0.8743069767951965
334	0.6218646764755249
339	0.7479761838912964
344	0.4996798634529114
349	0.8733973503112793
354	0.7488254308700562
359	0.498556911945343
364	0.6239312291145325
369	0.6249257922172546
374	0.9963134527206421
379	0.7478101849555969
384	0.7475460767745972
389	0.6240448951721191
394	0.8685925006866455
399	0.6240313053131104
404	0.7465291023254395
409	0.3742355406284332
414	0.4985317587852478
419	0.8676093816757202
424	0.6235552430152893
429	0.8714466691017151
434	0.3743072748184204
439	0.3706105053424835
444	0.4994482100009918
449	0.994088351726532
454	0.49588218331336975
459	0.3740215003490448
464	0.6246055364608765
469	0.49946582317352295
474	0.7421686053276062
479	0.7484411001205444
484	0.7408554553985596
489	0.4905804991722107
494	0.7374027371406555
499	0.49928027391433716
504	0.4990287125110626
509	0.8712239861488342
514	0.6241912841796875
519	0.9962748289108276
524	0.6136826276779175
529	0.8655487895011902
534	0.7396143674850464
539	0.856130838394165
544	0.9978012442588806
549	0.49203112721443176
554	0.7474361062049866
559	0.7492262125015259
564	0.9938656091690063
569	0.6246883273124695
574	0.4971461594104767
579	0.7372316718101501
584	0.3742751479148865
589	0.49899977445602417
594	0.8736939430236816
599	0.7424189448356628
604	0.6231123208999634
609	0.6242048144340515
614	0.12267275899648666
619	0.36699530482292175
624	0.611862301826477
629	0.37476423382759094
634	0.8728723526000977
639	0.6227846741676331
644	0.9897817373275757
649	0.8612504005432129
654	0.9813113212585449
659	0.48866456747055054
664	0.6144062280654907
669	0.7399968504905701
674	0.7450393438339233
679	0.9822485446929932
684	0.6164709329605103
689	0.4905102550983429
694	0.49915504455566406
699	0.7419571876525879
704	0.9928422570228577
709	0.7377232909202576
714	0.9964146614074707
719	0.9981986284255981
724	0.7355747222900391
729	0.7275781631469727
734	0.738547682762146
739	0.7395946383476257
744	0.3713272511959076
749	0.7408920526504517
754	0.7446341514587402
759	0.6144981384277344
764	0.6210952997207642
769	0.49660754203796387
774	0.8542087078094482
779	0.745484471321106
784	0.6244692206382751
789	0.4901829659938812
794	0.8558180928230286
799	0.9819167852401733
804	0.6246331930160522
809	0.8719366788864136
814	0.6223752498626709
819	0.24619567394256592
824	0.8477794528007507
829	0.9928077459335327
834	0.9765733480453491
839	0.6238486170768738
844	0.6128660440444946
849	0.8668620586395264
854	0.4925834834575653
859	0.7346881628036499
864	0.9764649868011475
869	0.6032289862632751
874	0.8691768050193787
879	0.5982592701911926
884	0.4983487129211426
889	0.3571397662162781
894	0.745155394077301
899	0.9863909482955933
904	0.4843355417251587
909	0.6199874877929688
914	0.49637410044670105
919	0.956911563873291
924	0.6083669662475586
929	0.4976300001144409
934	0.7477884292602539
