step	iou-no-empty_step
4	0.00027399437385611236
9	9.848940680967644e-05
14	0.0012299770023673773
19	0.000152573426021263
24	0.0004523388051893562
29	0.0010162311373278499
34	0.00046569074038416147
39	8.389550202991813e-05
44	0.0009988767560571432
49	0.0017585307359695435
54	0.0004159813397563994
59	0.001064090058207512
64	0.0008836110355332494
69	0.000934967421926558
74	0.0005725619848817587
79	0.0012338723754510283
84	0.00037264282582327724
89	0.00018078132416121662
94	0.00154235924128443
99	0.0006815389497205615
104	0.00398198701441288
109	0.005286314524710178
114	0.0016738343983888626
119	0.0013474265579134226
124	0.0036635324358940125
129	0.0018935990519821644
134	0.002847483614459634
139	0.001522175269201398
144	0.00339641235768795
149	0.0027641209308058023
154	0.003446240210905671
159	0.002365788910537958
164	0.0026624007150530815
169	0.0015721606323495507
174	0.002530431840568781
179	0.0023657996207475662
184	0.0029555943328887224
189	0.0012546342331916094
194	0.00029319291934370995
199	0.0011371144792065024
204	0.0003247537824790925
209	0.0033939541317522526
214	0.0008852894534356892
219	0.0016907504759728909
224	0.001243404927663505
229	0.0014731623232364655
234	0.0032906008418649435
239	0.0023934547789394855
244	0.00812000036239624
249	0.0003932970284949988
254	0.005071175750344992
259	0.0053979079239070415
264	0.004617737140506506
269	0.0011839423095807433
274	0.0005117832915857434
279	0.0018215859308838844
284	0.0025668246671557426
289	0.0010827021906152368
294	0.007409370504319668
299	0.007308217231184244
304	0.0016023683128878474
309	0.0008041904075071216
314	0.006228212732821703
319	0.0020902270916849375
324	0.009082806296646595
329	0.00193050317466259
334	0.008320135995745659
339	0.0028821281157433987
344	0.002714036498218775
349	0.006266172043979168
354	0.004004662856459618
359	0.0034421775490045547
364	0.003899987554177642
369	0.00021968991495668888
374	0.0033712221775203943
379	0.0025168703868985176
384	0.008812490850687027
389	0.006152374669909477
394	0.010713026858866215
399	0.002670915797352791
404	0.005749796517193317
409	0.0015571913681924343
414	0.0022418780717998743
419	0.015977412462234497
424	0.006150777917355299
429	0.007649928797036409
434	0.003794322023168206
439	0.015220741741359234
444	0.0038964960258454084
449	0.018149256706237793
454	0.011464743874967098
459	0.0022078424226492643
464	0.001320034614764154
469	0.004334817640483379
474	0.007638879586011171
479	0.008248156867921352
484	0.0057901679538190365
489	0.035587865859270096
494	0.026014383882284164
499	0.003911173436790705
504	0.0064485203474760056
509	0.009690513834357262
514	0.0021198508329689503
519	0.009769394062459469
524	0.017544763162732124
529	0.009617682546377182
534	0.02823726460337639
539	0.02552640810608864
544	0.006106395274400711
549	0.01024937629699707
554	0.006248482037335634
559	0.0068179648369550705
564	0.014320430345833302
569	0.0016686235321685672
574	0.004837251268327236
579	0.01854311302304268
584	0.0047961631789803505
589	0.006433582864701748
594	0.005420254543423653
599	0.026115108281373978
604	0.007141281384974718
609	0.0058955904096364975
614	0.008547008968889713
619	0.017288247123360634
624	0.020916052162647247
629	0.001520874910056591
634	0.00993128027766943
639	0.012533597648143768
644	0.017338596284389496
649	0.05517452955245972
654	0.03247136250138283
659	0.033267732709646225
664	0.014194363728165627
669	0.0213986337184906
674	0.010284744203090668
679	0.0604964978992939
684	0.018458230420947075
689	0.023690240457654
694	0.0029186909087002277
699	0.07507820427417755
704	0.032937366515398026
709	0.01935547962784767
714	0.008964578621089458
719	0.005587948951870203
724	0.030893370509147644
729	0.061041347682476044
734	0.03808744251728058
739	0.010314684361219406
744	0.01595683954656124
749	0.054362304508686066
754	0.016769876703619957
759	0.02777428925037384
764	0.007816198281943798
769	0.02460552379488945
774	0.04972463101148605
779	0.009539437480270863
784	0.00611925357952714
789	0.010619843378663063
794	0.0310371033847332
799	0.04568743705749512
804	0.002167586237192154
809	0.02125556580722332
814	0.020281264558434486
819	0.029322639107704163
824	0.03924761712551117
829	0.024169087409973145
834	0.03441972658038139
839	0.010844619944691658
844	0.016187064349651337
849	0.036435045301914215
854	0.01804698072373867
859	0.03078855574131012
864	0.030103661119937897
869	0.05135819688439369
874	0.021044062450528145
879	0.052801597863435745
884	0.0058595770969986916
889	0.02402937412261963
894	0.014947159215807915
899	0.023996800184249878
904	0.04717355966567993
909	0.013101482763886452
914	0.016653291881084442
919	0.11772627383470535
924	0.058803491294384
929	0.008707736618816853
934	0.009106667712330818
939	0.05494479089975357
944	0.006708845030516386
949	0.009849886409938335
954	0.023882564157247543
959	0.05724198371171951
964	0.04394504055380821
969	0.04942247271537781
974	0.024901606142520905
979	0.048077356070280075
984	0.02810746245086193
989	0.03713769093155861
994	0.03604969382286072
999	0.04129135608673096
1004	0.022593975067138672
